N,Tempo_ms
5,0
10,0
15,0
20,2
25,5
30,6
35,12
40,20
45,61
50,60
55,60
60,89
65,135
70,122
75,209
80,190
85,291
90,300
95,501
100,668
105,717
110,609
115,916
120,804
125,889
130,1135
135,870
140,1241
145,1484
150,1448
